method,split,seed,fold,far,recall_050,threshold,consecutive
v2 teacher,development,0,0,0.25925925925925924,0.8289473684210527,0.1,1
v2 teacher,development,0,0,0.18518518518518517,0.7631578947368421,0.1,2
v2 teacher,development,0,0,0.18518518518518517,0.75,0.1,3
v2 teacher,development,0,0,0.18518518518518517,0.6973684210526315,0.1,4
v2 teacher,development,0,0,0.2222222222222222,0.7631578947368421,0.15,1
v2 teacher,development,0,0,0.18518518518518517,0.75,0.15,2
v2 teacher,development,0,0,0.18518518518518517,0.7105263157894737,0.15,3
v2 teacher,development,0,0,0.18518518518518517,0.6710526315789473,0.15,4
v2 teacher,development,0,0,0.2222222222222222,0.75,0.2,1
v2 teacher,development,0,0,0.18518518518518517,0.7105263157894737,0.2,2
v2 teacher,development,0,0,0.18518518518518517,0.6710526315789473,0.2,3
v2 teacher,development,0,0,0.18518518518518517,0.6052631578947368,0.2,4
v2 teacher,development,0,0,0.2222222222222222,0.7368421052631579,0.25,1
v2 teacher,development,0,0,0.18518518518518517,0.6842105263157895,0.25,2
v2 teacher,development,0,0,0.18518518518518517,0.6578947368421053,0.25,3
v2 teacher,development,0,0,0.18518518518518517,0.5921052631578947,0.25,4
v2 teacher,development,0,0,0.2222222222222222,0.7236842105263158,0.3,1
v2 teacher,development,0,0,0.18518518518518517,0.6578947368421053,0.3,2
v2 teacher,development,0,0,0.18518518518518517,0.618421052631579,0.3,3
v2 teacher,development,0,0,0.1111111111111111,0.5921052631578947,0.3,4
v2 teacher,development,0,0,0.2222222222222222,0.7105263157894737,0.35,1
v2 teacher,development,0,0,0.14814814814814814,0.6447368421052632,0.35,2
v2 teacher,development,0,0,0.14814814814814814,0.5921052631578947,0.35,3
v2 teacher,development,0,0,0.1111111111111111,0.5394736842105263,0.35,4
v2 teacher,development,0,0,0.2222222222222222,0.6973684210526315,0.4,1
v2 teacher,development,0,0,0.14814814814814814,0.631578947368421,0.4,2
v2 teacher,development,0,0,0.14814814814814814,0.5921052631578947,0.4,3
v2 teacher,development,0,0,0.07407407407407407,0.5263157894736842,0.4,4
v2 teacher,development,0,0,0.18518518518518517,0.6842105263157895,0.45,1
v2 teacher,development,0,0,0.14814814814814814,0.618421052631579,0.45,2
v2 teacher,development,0,0,0.14814814814814814,0.5657894736842105,0.45,3
v2 teacher,development,0,0,0.07407407407407407,0.47368421052631576,0.45,4
v2 teacher,development,0,0,0.18518518518518517,0.6578947368421053,0.5,1
v2 teacher,development,0,0,0.14814814814814814,0.5789473684210527,0.5,2
v2 teacher,development,0,0,0.14814814814814814,0.5394736842105263,0.5,3
v2 teacher,development,0,0,0.07407407407407407,0.4605263157894737,0.5,4
v2 teacher,development,0,0,0.18518518518518517,0.6447368421052632,0.55,1
