"seed","fold","status","far","fall_events","normal_events","false_alert_events","recall_at_0.25s","recall_at_0.50s","recall_at_1.00s","mean_lead_seconds","median_lead_seconds","false_alert_events_per_minute","threshold","consecutive"
"0","0","far_exceeded","0.25925925925925924","78","27","7","0.8205128205128205","0.5256410256410257","0.20512820512820512","1.0062324661339106","0.6","2.358455602410207","0.4","4"
"0","1","far_exceeded","0.14814814814814814","76","27","4","0.868421052631579","0.6973684210526315","0.18421052631578946","0.8366886537349125","0.65","1.4423180156295468","0.1","1"
"0","2","far_exceeded","0.1111111111111111","77","27","3","0.8571428571428571","0.7532467532467533","0.2597402597402597","0.9272660067615645","0.8015372829799144","1.045506549636768","0.1","2"
"0","3","pass","0.038461538461538464","79","26","1","0.34177215189873417","0.10126582278481013","0.012658227848101266","0.30993212479173876","0.25","0.3390262221018076","0.9","4"
"0","4","far_exceeded","0.14814814814814814","86","27","4","0.7325581395348837","0.4069767441860465","0.046511627906976744","0.6169056898457603","0.45","1.2407116577319057","0.6","3"
"7","0","pass","0.07407407407407407","78","27","2","0.6666666666666666","0.34615384615384615","0.08974358974358974","0.5857104440327726","0.4","0.6738444578314877","0.85","3"
"7","1","pass","0.07407407407407407","76","27","2","0.7105263157894737","0.42105263157894735","0.09210526315789473","0.6462467695373239","0.5","0.7211590078147734","0.9","1"
"7","2","infeasible","","79","26","3","","","","","","","",""
"7","3","infeasible","","86","27","3","","","","","","","",""
"7","4","far_exceeded","0.25925925925925924","86","27","7","0.872093023255814","0.7325581395348837","0.13953488372093023","0.8209018538635675","0.7","2.171245401030835","0.1","3"
"13","0","infeasible","","76","27","3","","","","","","","",""
"13","1","far_exceeded","0.2222222222222222","76","27","6","0.868421052631579","0.7368421052631579","0.2236842105263158","0.862254339760817","0.65","2.16347702344432","0.1","1"
"13","2","pass","0.037037037037037035","77","27","1","0.8441558441558441","0.6753246753246753","0.16883116883116883","0.858428925197561","0.7","0.348502183212256","0.15","3"
"13","3","infeasible","","86","27","4","","","","","","","",""
"13","4","far_exceeded","0.14814814814814814","86","27","4","0.7674418604651163","0.5232558139534884","0.10465116279069768","0.602743134757027","0.55","1.2407116577319057","0.85","1"
"21","0","infeasible","","76","27","4","","","","","","","",""
"21","1","pass","0.07407407407407407","76","27","2","0.8421052631578947","0.618421052631579","0.15789473684210525","0.8252353096458729","0.6","0.7211590078147734","0.15","2"
"21","2","pass","0.07407407407407407","77","27","2","0.7012987012987013","0.38961038961038963","0.06493506493506493","0.6316873495701816","0.46381043349952844","0.697004366424512","0.7","3"
"21","3","infeasible","","86","27","3","","","","","","","",""
"21","4","infeasible","","78","27","3","","","","","","","",""
"42","0","far_exceeded","0.14814814814814814","78","27","4","0.8846153846153846","0.6153846153846154","0.21794871794871795","1.1293970644283036","0.55","1.3476889156629754","0.1","4"
"42","1","pass","0.037037037037037035","76","27","1","0.7894736842105263","0.5526315789473685","0.11842105263157894","0.7712316515147773","0.5580419350907057","0.3605795039073867","0.3","2"
"42","2","infeasible","","79","26","4","","","","","","","",""
"42","3","far_exceeded","0.15384615384615385","79","26","4","0.5822784810126582","0.16455696202531644","0.02531645569620253","0.4260824224814513","0.3348107149033325","1.3561048884072304","0.55","4"
"42","4","far_exceeded","0.1111111111111111","86","27","3","0.7674418604651163","0.46511627906976744","0.06976744186046512","0.6595127083535623","0.5","0.9305337432989294","0.55","3"
"123","0","far_exceeded","0.2222222222222222","78","27","6","0.7564102564102564","0.46153846153846156","0.10256410256410256","0.7746394481165214","0.5327401894761336","2.021533373494463","0.55","2"
"123","1","pass","0.07407407407407407","76","27","2","0.7236842105263158","0.4473684210526316","0.09210526315789473","0.6598985119718704","0.55","0.7211590078147734","0.7","1"
"123","2","infeasible","","79","26","3","","","","","","","",""
"123","3","infeasible","","86","27","3","","","","","","","",""
"123","4","far_exceeded","0.14814814814814814","86","27","4","0.6511627906976745","0.37209302325581395","0.03488372093023256","0.6026475968408112","0.45","1.2407116577319057","0.9","3"
