public_group_id,public_family_id,source_dataset,outer_fold,event_type,windows
grp_3f702df0ae3bda7e37ba,fam_3f702df0ae3bda7e37ba,CAUCAFall,1,fall,464
grp_a77ae227b25da4da9cf1,fam_a77ae227b25da4da9cf1,CAUCAFall,0,fall,405
grp_8b0663cc0d0c6172af03,fam_8b0663cc0d0c6172af03,CAUCAFall,3,fall,298
grp_a13b339e5c27dc291083,fam_a13b339e5c27dc291083,CAUCAFall,4,fall,418
grp_c05897617a6fed403ed5,fam_c05897617a6fed403ed5,CAUCAFall,1,fall,343
grp_de702e68184e29d008c5,fam_de702e68184e29d008c5,CAUCAFall,2,fall,408
grp_fdc535561e26e66e3b73,fam_fdc535561e26e66e3b73,CAUCAFall,3,fall,500
grp_c98f1e6a433ab46aefe7,fam_c98f1e6a433ab46aefe7,CAUCAFall,2,fall,400
grp_c4d54f5146aa7a6849f8,fam_c4d54f5146aa7a6849f8,CAUCAFall,0,fall,394
grp_e2b184596372dda94722,fam_e2b184596372dda94722,CAUCAFall,4,fall,396
grp_19d7d923ee2dd2e79918,fam_19d7d923ee2dd2e79918,FieldCollection,1,fall,218
grp_4a3bdc9f2257a33502dc,fam_4a3bdc9f2257a33502dc,FieldCollection,3,fall,286
grp_11dce3c68e803ec10bc6,fam_11dce3c68e803ec10bc6,FieldCollection,0,fall,254
grp_643319c9203691d05364,fam_643319c9203691d05364,FieldCollection,4,fall,210
grp_2a3aa92a82c367dcafea,fam_2a3aa92a82c367dcafea,FieldCollection,4,fall,169
grp_d3a89217c7ac52e16e27,fam_d3a89217c7ac52e16e27,FieldCollection,4,fall,397
grp_e236502ef83be7009bdb,fam_e236502ef83be7009bdb,FieldCollection,2,fall,156
grp_4e46034f75f755a62812,fam_4e46034f75f755a62812,FieldCollection,1,fall,378
grp_6ffa89601a629ab9903b,fam_6ffa89601a629ab9903b,FieldCollection,2,fall,147
grp_429460c3db7e8844bf6d,fam_429460c3db7e8844bf6d,FieldCollection,2,fall,404
grp_85f940d8e8e150a4d603,fam_85f940d8e8e150a4d603,FieldCollection,3,fall,176
grp_a6e216843668e3a2045e,fam_a6e216843668e3a2045e,FieldCollection,1,fall,231
grp_3e363ea85a5b44ef3589,fam_3e363ea85a5b44ef3589,FieldCollection,4,fall,150
grp_c770817ed4ccb65e8ab5,fam_c770817ed4ccb65e8ab5,FieldCollection,0,fall,107
grp_998338145782c911c005,fam_998338145782c911c005,FieldCollection,2,fall,180
grp_0205576d0b5db40f3fa0,fam_0205576d0b5db40f3fa0,FieldCollection,3,fall,210
grp_70004fe4369b2d4c57af,fam_70004fe4369b2d4c57af,FieldCollection,4,fall,127
grp_401381dc1e96aa892f42,fam_401381dc1e96aa892f42,FieldCollection,0,fall,290
grp_26e5f33a91c20f5f4027,fam_26e5f33a91c20f5f4027,FieldCollection,1,fall,154
grp_d1895dd99c732678776d,fam_d1895dd99c732678776d,FieldCollection,3,fall,322
grp_71a53c9cbda13fce90bf,fam_71a53c9cbda13fce90bf,FieldCollection,3,fall,226
grp_71ba80cd537ea8f041c9,fam_71ba80cd537ea8f041c9,FieldCollection,2,fall,265
grp_f986ae09a0deecdcf2b2,fam_f986ae09a0deecdcf2b2,FieldCollection,2,fall,245
grp_fac0f2c6ecbbe9b6d0a5,fam_fac0f2c6ecbbe9b6d0a5,FieldCollection,4,fall,225
grp_a540e30222e86db14a73,fam_a540e30222e86db14a73,FieldCollection,4,fall,281
grp_4920924ec70b39b76768,fam_4920924ec70b39b76768,FieldCollection,1,fall,123
grp_279a138694e1106eb1d9,fam_279a138694e1106eb1d9,FieldCollection,1,fall,265
grp_77be562439d84a81e6da,fam_77be562439d84a81e6da,FieldCollection,0,fall,404
grp_18026f1cec913cc5677b,fam_18026f1cec913cc5677b,FieldCollection,0,fall,150
grp_0068f313719a59a71bbf,fam_0068f313719a59a71bbf,FieldCollection,4,fall,480
grp_19a497c17587f3e0a799,fam_19a497c17587f3e0a799,FieldCollection,0,fall,206
grp_e7351174df235e7c4d58,fam_e7351174df235e7c4d58,FieldCollection,3,fall,577
grp_b8bb3fe32524be030666,fam_b8bb3fe32524be030666,FieldCollection,2,fall,176
grp_cdf72ef38faf54f68e3c,fam_cdf72ef38faf54f68e3c,FieldCollection,0,fall,432
grp_5ab07be43c177bf59912,fam_5ab07be43c177bf59912,FieldCollection,0,fall,171
