public_group_id,source_family_id,source_dataset,outer_fold,event_type,windows
grp_3f702df0ae3bda7e37ba,grp_3f702df0ae3bda7e37ba,CAUCAFall,0,fall,464
grp_a77ae227b25da4da9cf1,grp_a77ae227b25da4da9cf1,CAUCAFall,0,fall,405
grp_8b0663cc0d0c6172af03,grp_8b0663cc0d0c6172af03,CAUCAFall,0,fall,298
grp_a13b339e5c27dc291083,grp_a13b339e5c27dc291083,CAUCAFall,0,fall,418
grp_c05897617a6fed403ed5,grp_c05897617a6fed403ed5,CAUCAFall,4,fall,343
grp_de702e68184e29d008c5,grp_de702e68184e29d008c5,CAUCAFall,0,fall,408
grp_fdc535561e26e66e3b73,grp_fdc535561e26e66e3b73,CAUCAFall,3,fall,500
grp_c98f1e6a433ab46aefe7,grp_c98f1e6a433ab46aefe7,CAUCAFall,3,fall,400
grp_c4d54f5146aa7a6849f8,grp_c4d54f5146aa7a6849f8,CAUCAFall,4,fall,394
grp_e2b184596372dda94722,grp_e2b184596372dda94722,CAUCAFall,3,fall,396
grp_19d7d923ee2dd2e79918,grp_19d7d923ee2dd2e79918,FieldCollection,1,fall,218
grp_4a3bdc9f2257a33502dc,grp_4a3bdc9f2257a33502dc,FieldCollection,2,fall,286
grp_11dce3c68e803ec10bc6,grp_11dce3c68e803ec10bc6,FieldCollection,4,fall,254
grp_643319c9203691d05364,grp_643319c9203691d05364,FieldCollection,2,fall,210
grp_2a3aa92a82c367dcafea,grp_2a3aa92a82c367dcafea,FieldCollection,2,fall,169
grp_d3a89217c7ac52e16e27,grp_d3a89217c7ac52e16e27,FieldCollection,3,fall,397
grp_e236502ef83be7009bdb,grp_e236502ef83be7009bdb,FieldCollection,0,fall,156
grp_4e46034f75f755a62812,grp_4e46034f75f755a62812,FieldCollection,0,fall,378
grp_6ffa89601a629ab9903b,grp_6ffa89601a629ab9903b,FieldCollection,1,fall,147
grp_429460c3db7e8844bf6d,grp_429460c3db7e8844bf6d,FieldCollection,2,fall,404
grp_85f940d8e8e150a4d603,grp_85f940d8e8e150a4d603,FieldCollection,3,fall,176
grp_a6e216843668e3a2045e,grp_a6e216843668e3a2045e,FieldCollection,3,fall,231
grp_3e363ea85a5b44ef3589,grp_3e363ea85a5b44ef3589,FieldCollection,0,fall,150
grp_c770817ed4ccb65e8ab5,grp_c770817ed4ccb65e8ab5,FieldCollection,1,fall,107
grp_998338145782c911c005,grp_998338145782c911c005,FieldCollection,1,fall,180
grp_0205576d0b5db40f3fa0,grp_0205576d0b5db40f3fa0,FieldCollection,2,fall,210
grp_70004fe4369b2d4c57af,grp_70004fe4369b2d4c57af,FieldCollection,2,fall,127
grp_401381dc1e96aa892f42,grp_401381dc1e96aa892f42,FieldCollection,4,fall,290
grp_26e5f33a91c20f5f4027,grp_26e5f33a91c20f5f4027,FieldCollection,1,fall,154
grp_d1895dd99c732678776d,grp_d1895dd99c732678776d,FieldCollection,4,fall,322
grp_71a53c9cbda13fce90bf,grp_71a53c9cbda13fce90bf,FieldCollection,1,fall,226
grp_71ba80cd537ea8f041c9,grp_71ba80cd537ea8f041c9,FieldCollection,4,fall,265
grp_f986ae09a0deecdcf2b2,grp_f986ae09a0deecdcf2b2,FieldCollection,2,fall,245
grp_fac0f2c6ecbbe9b6d0a5,grp_fac0f2c6ecbbe9b6d0a5,FieldCollection,3,fall,225
grp_a540e30222e86db14a73,grp_a540e30222e86db14a73,FieldCollection,3,fall,281
grp_4920924ec70b39b76768,grp_4920924ec70b39b76768,FieldCollection,2,fall,123
grp_279a138694e1106eb1d9,grp_279a138694e1106eb1d9,FieldCollection,3,fall,265
grp_77be562439d84a81e6da,grp_77be562439d84a81e6da,FieldCollection,1,fall,404
grp_18026f1cec913cc5677b,grp_18026f1cec913cc5677b,FieldCollection,2,fall,150
grp_0068f313719a59a71bbf,grp_0068f313719a59a71bbf,FieldCollection,4,fall,480
grp_19a497c17587f3e0a799,grp_19a497c17587f3e0a799,FieldCollection,0,fall,206
grp_e7351174df235e7c4d58,grp_e7351174df235e7c4d58,FieldCollection,2,fall,577
grp_b8bb3fe32524be030666,grp_b8bb3fe32524be030666,FieldCollection,1,fall,176
grp_cdf72ef38faf54f68e3c,grp_cdf72ef38faf54f68e3c,FieldCollection,4,fall,432
grp_5ab07be43c177bf59912,grp_5ab07be43c177bf59912,FieldCollection,3,fall,171
grp_7cf0c941ae0f9f8b0a2d,grp_7cf0c941ae0f9f8b0a2d,FieldCollection,3,fall,161
grp_574af0f85f031630408d,grp_574af0f85f031630408d,FieldCollection,1,fall,515
grp_f9160777d11da051a7c8,grp_f9160777d11da051a7c8,FieldCollection,0,fall,148
grp_6352eba9d4b7711787d6,grp_6352eba9d4b7711787d6,FieldCollection,1,fall,472
grp_b7d07ec0d11f40707158,grp_b7d07ec0d11f40707158,GMDCSA24,0,fall,136
grp_148aece0ea8592eb9bda,grp_148aece0ea8592eb9bda,GMDCSA24,4,fall,91
grp_3e78e71fb74875fcbcf9,grp_3e78e71fb74875fcbcf9,GMDCSA24,3,fall,101
grp_d8976dfb34660271f9ba,grp_d8976dfb34660271f9ba,GMDCSA24,3,fall,101
grp_a8225f3b64e72a02a096,grp_a8225f3b64e72a02a096,GMDCSA24,1,fall,96
grp_4db7ef443b9ee5468753,grp_4db7ef443b9ee5468753,GMDCSA24,2,fall,126
grp_9dcff839dcff5a1ff915,grp_9dcff839dcff5a1ff915,GMDCSA24,1,fall,71
grp_f8fcab7ef0dc37ccd5b4,grp_f8fcab7ef0dc37ccd5b4,GMDCSA24,1,fall,71
grp_ca4661009a7ca6a89a04,grp_ca4661009a7ca6a89a04,GMDCSA24,0,fall,63
grp_4f7e4b6c9f6d7ed788b5,grp_4f7e4b6c9f6d7ed788b5,GMDCSA24,2,fall,66
grp_dcf79c80872034a38067,grp_dcf79c80872034a38067,GMDCSA24,1,fall,84
grp_83cea1db3b143138b150,grp_83cea1db3b143138b150,GMDCSA24,2,fall,99
grp_df3eec0a581a7ce36d6f,grp_df3eec0a581a7ce36d6f,GMDCSA24,0,fall,52
grp_7def7cefb8b21b580dfb,grp_7def7cefb8b21b580dfb,GMDCSA24,4,fall,56
grp_27abe0c6ecf015511c95,grp_27abe0c6ecf015511c95,GMDCSA24,4,fall,94
grp_3ca826c106d997a2a7bd,grp_3ca826c106d997a2a7bd,GMDCSA24,0,fall,126
grp_1091d0ccf4332402cf27,grp_1091d0ccf4332402cf27,GMDCSA24,3,fall,98
grp_3a38b99d538b83c61452,grp_3a38b99d538b83c61452,GMDCSA24,2,fall,132
grp_f0705ca9d9131c1addcc,grp_f0705ca9d9131c1addcc,GMDCSA24,2,fall,39
grp_7fd7d2c4f96dd24cff89,grp_7fd7d2c4f96dd24cff89,GMDCSA24,2,fall,178
grp_3b7b0f07049e05fc75bd,grp_3b7b0f07049e05fc75bd,GMDCSA24,3,fall,82
grp_7e451a4b5830aed84244,grp_7e451a4b5830aed84244,GMDCSA24,4,fall,128
grp_f490e3a13890f2e0bd58,grp_f490e3a13890f2e0bd58,GMDCSA24,4,fall,98
grp_11cfb24537454e134217,grp_11cfb24537454e134217,GMDCSA24,3,fall,113
grp_b925f949d8ad9355be5d,grp_b925f949d8ad9355be5d,GMDCSA24,0,fall,118
grp_ad661eff3c81be02f81a,grp_ad661eff3c81be02f81a,GMDCSA24,4,fall,57
grp_3cad2969f9bc637fd248,grp_3cad2969f9bc637fd248,GMDCSA24,2,fall,102
grp_e85fe0451aeabd10ee14,grp_e85fe0451aeabd10ee14,GMDCSA24,4,fall,135
grp_fadbebf9746de6683fe5,grp_fadbebf9746de6683fe5,GMDCSA24,1,fall,76
grp_a21b3e6e82b5b801e949,grp_a21b3e6e82b5b801e949,GMDCSA24,2,fall,65
grp_55fb70a2e590fdc633a8,grp_55fb70a2e590fdc633a8,GMDCSA24,0,fall,274
grp_31ceb35d27e95b350e18,grp_31ceb35d27e95b350e18,GMDCSA24,2,fall,70
grp_bb67b1a7f9512ef7afc0,grp_bb67b1a7f9512ef7afc0,GMDCSA24,3,fall,115
grp_73e82bad5c7ac8c55d92,grp_73e82bad5c7ac8c55d92,GMDCSA24,0,fall,338
grp_2f54688519c37a18d5a1,grp_2f54688519c37a18d5a1,GMDCSA24,0,fall,293
grp_079e32a76791e605eb78,grp_079e32a76791e605eb78,GMDCSA24,3,fall,282
grp_38339df7322493b236e2,grp_38339df7322493b236e2,GMDCSA24,1,fall,221
grp_cf6f19422b9ca569aa8b,grp_cf6f19422b9ca569aa8b,GMDCSA24,0,fall,76
grp_c5fa6b681bd61b2bbc72,grp_c5fa6b681bd61b2bbc72,GMDCSA24,4,fall,139
grp_4f55c5fb95fa1a9995c5,grp_4f55c5fb95fa1a9995c5,GMDCSA24,0,fall,139
grp_89dc89609e653f9e9d33,grp_89dc89609e653f9e9d33,GMDCSA24,4,fall,126
grp_09adeb281934eb0335a6,grp_09adeb281934eb0335a6,GMDCSA24,2,fall,50
grp_a1acfde5c75ca4ae3666,grp_a1acfde5c75ca4ae3666,GMDCSA24,2,fall,119
grp_0e766ce8abc12fa2306a,grp_0e766ce8abc12fa2306a,GMDCSA24,4,fall,86
grp_b549f9e4a8d070a02655,grp_b549f9e4a8d070a02655,GMDCSA24,1,fall,82
grp_28212153e23051009610,grp_28212153e23051009610,GMDCSA24,4,fall,140
grp_1b007567931be4c8695a,grp_1b007567931be4c8695a,GMDCSA24,3,fall,32
grp_1a9fdfa5ca71f4d160b6,grp_1a9fdfa5ca71f4d160b6,GMDCSA24,3,fall,68
grp_ce89741f99142c8afc62,grp_ce89741f99142c8afc62,GMDCSA24,4,fall,37
grp_d06bd8c7850cc169e169,grp_d06bd8c7850cc169e169,GMDCSA24,4,fall,126
grp_6bcd0ac4d611db609b68,grp_6bcd0ac4d611db609b68,GMDCSA24,1,fall,77
grp_97e946413cbe771eb0f0,grp_97e946413cbe771eb0f0,GMDCSA24,3,fall,200
grp_0bf775ba30988cb7c66f,grp_0bf775ba30988cb7c66f,GMDCSA24,4,fall,98
grp_a760378fd7251069ed5f,grp_a760378fd7251069ed5f,GMDCSA24,4,fall,69
grp_788a27c1ad0b49fe9ae9,grp_788a27c1ad0b49fe9ae9,GMDCSA24,1,fall,283
grp_75b5ac8f57da4c4298d1,grp_75b5ac8f57da4c4298d1,GMDCSA24,3,fall,46
grp_8ee1610f7854ebc3be91,grp_8ee1610f7854ebc3be91,GMDCSA24,0,fall,43
grp_777da441cff9a5d4eee0,grp_777da441cff9a5d4eee0,GMDCSA24,3,fall,33
grp_a448f5b166da122c7a90,grp_a448f5b166da122c7a90,GMDCSA24,0,fall,85
grp_ef40f87fe5e60bd18733,grp_ef40f87fe5e60bd18733,GMDCSA24,1,fall,48
grp_2e50034a1254ce4e97b1,grp_2e50034a1254ce4e97b1,GMDCSA24,2,fall,60
grp_1e694125cc4e8e91e451,grp_1e694125cc4e8e91e451,GMDCSA24,4,fall,200
grp_1b757370bc59545107ca,grp_1b757370bc59545107ca,GMDCSA24,2,fall,82
grp_ddf0e03e93018cdfdaca,grp_ddf0e03e93018cdfdaca,GMDCSA24,4,fall,74
grp_adffa9212624afb5eaa3,grp_adffa9212624afb5eaa3,GMDCSA24,4,fall,81
grp_ecbbd714a6a9a8d41106,grp_ecbbd714a6a9a8d41106,GMDCSA24,0,fall,37
grp_6006bd46e20a319f065a,grp_6006bd46e20a319f065a,GMDCSA24,3,fall,103
grp_31f2995a5443134082c2,grp_31f2995a5443134082c2,GMDCSA24,0,fall,67
grp_935dccfc142e0d4729ee,grp_935dccfc142e0d4729ee,GMDCSA24,2,fall,103
grp_57a407b137af021847dd,grp_57a407b137af021847dd,GMDCSA24,1,fall,92
grp_76816693fbbbd07e5cd7,grp_76816693fbbbd07e5cd7,GMDCSA24,4,fall,90
grp_8e7d89c768a88ecaab58,grp_8e7d89c768a88ecaab58,GMDCSA24,0,fall,98
grp_482b72155d3c5b598fa4,grp_482b72155d3c5b598fa4,GMDCSA24,3,fall,63
grp_d18a1645d526d8ec72ba,grp_d18a1645d526d8ec72ba,GMDCSA24,4,fall,81
grp_6e4a59c63dea486c00b9,grp_6e4a59c63dea486c00b9,GMDCSA24,0,fall,30
grp_0c7d5decde52c1a2ec54,grp_0c7d5decde52c1a2ec54,GMDCSA24,2,fall,45
grp_fa9139354e29a57d32d9,grp_fa9139354e29a57d32d9,GMDCSA24,1,fall,90
grp_2b22bec476e6aad42998,grp_2b22bec476e6aad42998,GMDCSA24,3,fall,95
grp_e2f2cff81d495dd8b01a,grp_e2f2cff81d495dd8b01a,GMDCSA24,0,fall,103
grp_7ea75754bb8666b7b381,grp_7ea75754bb8666b7b381,MultiFallEvents,4,fall,116
grp_2a928595c5b02e501403,grp_2a928595c5b02e501403,MultiFallEvents,3,fall,110
grp_a9dc94a3403365cad124,grp_a9dc94a3403365cad124,MultiFallEvents,0,fall,99
grp_5ffbb7ca6ca53a51b40b,grp_5ffbb7ca6ca53a51b40b,MultiFallEvents,2,fall,97
grp_11f101d206080ea2fbcf,grp_11f101d206080ea2fbcf,MultiFallEvents,3,fall,40
grp_e40c3282b0842d768b58,grp_e40c3282b0842d768b58,MultiFallEvents,4,fall,241
grp_c9e779c7afa7cd344a5b,mcfd_chute05,MultiFallEvents,0,fall,32
grp_4af24cc0146d3ebbcc56,mcfd_chute06,MultiFallEvents,2,fall,70
grp_84b2e9e6a14e176ac615,mcfd_chute07,MultiFallEvents,2,fall,75
grp_a4a5200d15019ea6881a,mcfd_chute08,MultiFallEvents,0,fall,65
grp_f279c8aa5fad0f136d35,mcfd_chute09,MultiFallEvents,4,fall,56
grp_304817960ef0ecf78bbe,mcfd_chute10,MultiFallEvents,0,fall,65
grp_a677c391730ed99780d6,mcfd_chute11,MultiFallEvents,1,fall,66
grp_0cd9b20780c6b6cc759c,mcfd_chute12,MultiFallEvents,0,fall,68
grp_7943b35cbb233a2a4f1d,mcfd_chute15,MultiFallEvents,3,fall,98
grp_d03bb55b765a73a2af3a,mcfd_chute17,MultiFallEvents,1,fall,92
grp_fe24956a64c32874238c,mcfd_chute18,MultiFallEvents,0,fall,40
grp_6a6be25e42f1642d6860,mcfd_chute19,MultiFallEvents,1,fall,82
grp_d5e9bb53cad538feaef8,mcfd_chute20,MultiFallEvents,2,fall,86
grp_0ac234e7da76a7997a3e,mcfd_chute21,MultiFallEvents,1,fall,70
grp_86649267a4ac9fb8cd1f,mcfd_chute22,MultiFallEvents,0,fall,68
grp_a1a2dea93bb99ca5c9e0,mcfd_chute05,MulticamTrain,1,fall,86
grp_129aaaf5899a360217f0,mcfd_chute06,MulticamTrain,3,fall,425
grp_f6e420800097a5739b0f,mcfd_chute07,MulticamTrain,4,fall,224
grp_68b50e8f1464137e3f47,mcfd_chute08,MulticamTrain,1,fall,202
grp_830d05ac0014bdf2434a,mcfd_chute09,MulticamTrain,1,fall,266
grp_9162da3ab5aa82630838,mcfd_chute10,MulticamTrain,2,fall,295
grp_88c088ce8086941e5491,mcfd_chute11,MulticamTrain,0,fall,191
grp_7581e315df48dff2ce68,mcfd_chute12,MulticamTrain,4,fall,383
grp_191649d1a98c7a1557d3,mcfd_chute15,MulticamTrain,0,fall,234
grp_25425d28f30cd824faf5,mcfd_chute17,MulticamTrain,1,fall,180
grp_cb4845622bbb44f534e8,mcfd_chute18,MulticamTrain,3,fall,180
grp_bd8f156ce4ecd3382e80,mcfd_chute19,MulticamTrain,2,fall,286
grp_da6be850a6d8387e54f0,mcfd_chute20,MulticamTrain,4,fall,358
grp_ec1eaa8b8572c635360e,mcfd_chute21,MulticamTrain,3,fall,384
grp_b99d40db6c73ed2b82ca,mcfd_chute22,MulticamTrain,4,fall,465
grp_4ac243744fe9dcfe2ea1,grp_4ac243744fe9dcfe2ea1,TSTModified,1,fall,469
grp_1864dafec99ccac964a5,grp_1864dafec99ccac964a5,TSTModified,3,fall,677
grp_01058c7c0d57fed7f0b0,grp_01058c7c0d57fed7f0b0,TSTModified,1,fall,466
grp_8d8ca17e9b244f6295de,grp_8d8ca17e9b244f6295de,TSTModified,1,fall,469
grp_a3527005fde69ab882c9,grp_a3527005fde69ab882c9,TSTModified,4,fall,506
grp_236161059b67d02ee314,grp_236161059b67d02ee314,TSTModified,2,fall,468
grp_e3172909f7c49af033f6,grp_e3172909f7c49af033f6,TSTModified,0,fall,554
grp_a7f527101dfc469765cd,grp_a7f527101dfc469765cd,TSTModified,1,fall,445
grp_b248426fc544cdfd5380,grp_b248426fc544cdfd5380,TSTModified,3,fall,509
grp_895a3e7dcaccf3830ea3,grp_895a3e7dcaccf3830ea3,TSTModified,4,fall,559
grp_a94b92f1c72d784cc15c,grp_a94b92f1c72d784cc15c,TSTModified,3,fall,479
grp_ea0d3366231af31be818,grp_ea0d3366231af31be818,URFD,0,fall,154
grp_2a7a6469ecdc74f097e0,grp_2a7a6469ecdc74f097e0,URFD,3,fall,115
grp_4210c2fd473e9ad0a67e,grp_4210c2fd473e9ad0a67e,URFD,2,fall,279
grp_e6676877cc2713e2f5a4,grp_e6676877cc2713e2f5a4,URFD,0,fall,107
grp_d7e936fc7cd4bc937cff,grp_d7e936fc7cd4bc937cff,URFD,2,fall,151
grp_d8c0770dfeec4dc1839c,grp_d8c0770dfeec4dc1839c,URFD,2,fall,90
grp_19f36def14806e2f26fc,grp_19f36def14806e2f26fc,URFD,1,fall,246
grp_a83a4ab4c47ec7a4701c,grp_a83a4ab4c47ec7a4701c,URFD,2,fall,120
grp_4e92e955385fbce039c1,grp_4e92e955385fbce039c1,URFD,4,fall,297
grp_a64d0e9aafb333d9a965,grp_a64d0e9aafb333d9a965,URFD,3,fall,137
grp_db4ea3dc9b2cf2208bd9,grp_db4ea3dc9b2cf2208bd9,URFD,1,fall,145
grp_7ab5585843154793f50a,grp_7ab5585843154793f50a,URFD,4,fall,136
grp_b364104ef50874a2bb9f,grp_b364104ef50874a2bb9f,URFD,2,fall,110
grp_04c943be173ef8ecb406,grp_04c943be173ef8ecb406,URFD,1,fall,92
grp_1748638678a828569ed2,grp_1748638678a828569ed2,URFD,2,fall,94
grp_9ec9a2e4912e17a6ef88,grp_9ec9a2e4912e17a6ef88,URFD,4,fall,86
grp_66536faf0044e840f9a7,grp_66536faf0044e840f9a7,URFD,1,fall,126
grp_efeef38a0d39bd05e835,grp_efeef38a0d39bd05e835,URFD,1,fall,84
grp_ae7c2f737cc83dd97b02,grp_ae7c2f737cc83dd97b02,URFD,2,fall,102
grp_df121867af59e175f2f7,grp_df121867af59e175f2f7,URFD,0,fall,122
grp_6d26449b4469f42e2c40,grp_6d26449b4469f42e2c40,URFD,4,fall,86
grp_f78d8460d98e501aefe6,grp_f78d8460d98e501aefe6,URFD,3,fall,84
grp_6bb8d61b73391e021848,grp_6bb8d61b73391e021848,URFD,0,fall,100
grp_ab908c382bb213154079,grp_ab908c382bb213154079,URFD,3,fall,93
grp_8a927e085b78e576f63c,grp_8a927e085b78e576f63c,URFD,1,fall,117
grp_6f7f415f0118cc64af2b,grp_6f7f415f0118cc64af2b,URFD,2,fall,95
grp_864d599a2ac0407340da,grp_864d599a2ac0407340da,URFD,3,fall,121
grp_5c7eb98539018f333a3b,grp_5c7eb98539018f333a3b,URFD,1,fall,103
grp_97e043cdc598f9172594,grp_97e043cdc598f9172594,URFD,3,fall,123
grp_3d2d078fbbbbf8e04624,grp_3d2d078fbbbbf8e04624,URFD,2,fall,95
grp_d25336457fee93fed3bc,grp_d25336457fee93fed3bc,CAUCAFall,2,normal,265
grp_be80a2f9456e6532b9cf,grp_be80a2f9456e6532b9cf,CAUCAFall,1,normal,387
grp_1f46745a6cad0dc43b88,grp_1f46745a6cad0dc43b88,CAUCAFall,4,normal,256
grp_270793fcc7be77aa3b11,grp_270793fcc7be77aa3b11,CAUCAFall,0,normal,325
grp_703d54677b4f460129eb,grp_703d54677b4f460129eb,CAUCAFall,1,normal,336
grp_6e476bbfa30fc2fd22f2,grp_6e476bbfa30fc2fd22f2,CAUCAFall,4,normal,388
grp_cc907490679165ca61f6,grp_cc907490679165ca61f6,CAUCAFall,0,normal,303
grp_a3a45aac856d94402e9d,grp_a3a45aac856d94402e9d,CAUCAFall,2,normal,287
grp_c06a3f18204bc49417b9,grp_c06a3f18204bc49417b9,CAUCAFall,3,normal,325
grp_0285ff641bbd66c2795b,grp_0285ff641bbd66c2795b,CAUCAFall,2,normal,405
grp_5b0c49d6e24df807e26f,grp_5b0c49d6e24df807e26f,GMDCSA24,2,normal,91
grp_4c59d7a3c984ff84f576,grp_4c59d7a3c984ff84f576,GMDCSA24,2,normal,68
grp_0f974f1a4ef44cf11985,grp_0f974f1a4ef44cf11985,GMDCSA24,0,normal,68
grp_c4b3f548ff2eaf5db201,grp_c4b3f548ff2eaf5db201,GMDCSA24,3,normal,54
grp_43840a6681f0147a2c05,grp_43840a6681f0147a2c05,GMDCSA24,2,normal,123
grp_a1ca5e79adeb015e53e5,grp_a1ca5e79adeb015e53e5,GMDCSA24,2,normal,151
grp_234cd3520b13c0417494,grp_234cd3520b13c0417494,GMDCSA24,0,normal,81
grp_629d85447b7211015359,grp_629d85447b7211015359,GMDCSA24,1,normal,62
grp_b1df2aeabdb74df78d69,grp_b1df2aeabdb74df78d69,GMDCSA24,3,normal,42
grp_f30c25d044e0850aeadf,grp_f30c25d044e0850aeadf,GMDCSA24,1,normal,26
grp_73f38daea6b1135aa6ce,grp_73f38daea6b1135aa6ce,GMDCSA24,3,normal,107
grp_2d3a5a55ee453200ad6f,grp_2d3a5a55ee453200ad6f,GMDCSA24,4,normal,78
grp_0bf1faf037649d5acc7c,grp_0bf1faf037649d5acc7c,GMDCSA24,0,normal,62
grp_bef12fd7c806d31fae0d,grp_bef12fd7c806d31fae0d,GMDCSA24,4,normal,55
grp_d74a37163e2f3764ed7f,grp_d74a37163e2f3764ed7f,GMDCSA24,1,normal,75
grp_08bee6160e3750b67320,grp_08bee6160e3750b67320,GMDCSA24,0,normal,21
grp_d359a014c8b152479ac6,grp_d359a014c8b152479ac6,GMDCSA24,0,normal,139
grp_3d0a8b13cd73040b47ff,grp_3d0a8b13cd73040b47ff,GMDCSA24,1,normal,145
