variant,seed,fold,full_status,ablation_status,full_recall_050,ablation_recall_050,delta_recall_050,full_far,ablation_far
no_physics,0,0,far_exceeded,far_exceeded,0.5256410256410257,0.44871794871794873,-0.07692307692307693,0.25925925925925924,0.1111111111111111
no_physics,0,1,far_exceeded,far_exceeded,0.6973684210526315,0.5789473684210527,-0.11842105263157887,0.14814814814814814,0.14814814814814814
no_physics,0,2,far_exceeded,infeasible,0.7532467532467533,,,0.1111111111111111,
no_physics,0,3,pass,far_exceeded,0.10126582278481013,0.17721518987341772,0.0759493670886076,0.038461538461538464,0.15384615384615385
no_physics,0,4,far_exceeded,far_exceeded,0.4069767441860465,0.38372093023255816,-0.023255813953488358,0.14814814814814814,0.1111111111111111
no_physics,7,0,pass,far_exceeded,0.34615384615384615,0.46153846153846156,0.11538461538461542,0.07407407407407407,0.14814814814814814
no_physics,7,1,pass,far_exceeded,0.42105263157894735,0.5526315789473685,0.13157894736842113,0.07407407407407407,0.14814814814814814
no_physics,7,2,infeasible,infeasible,,,,,
no_physics,7,3,infeasible,far_exceeded,,0.189873417721519,,,0.11538461538461539
no_physics,7,4,far_exceeded,far_exceeded,0.7325581395348837,0.7209302325581395,-0.011627906976744207,0.25925925925925924,0.1111111111111111
no_physics,13,0,infeasible,pass,,0.3717948717948718,,,0.037037037037037035
no_physics,13,1,far_exceeded,pass,0.7368421052631579,0.5394736842105263,-0.19736842105263153,0.2222222222222222,0.037037037037037035
no_physics,13,2,pass,infeasible,0.6753246753246753,,,0.037037037037037035,
no_physics,13,3,infeasible,far_exceeded,,0.13924050632911392,,,0.11538461538461539
no_physics,13,4,far_exceeded,far_exceeded,0.5232558139534884,0.5930232558139535,0.06976744186046513,0.14814814814814814,0.1111111111111111
no_physics,21,0,infeasible,far_exceeded,,0.3076923076923077,,,0.18518518518518517
no_physics,21,1,pass,far_exceeded,0.618421052631579,0.7368421052631579,0.11842105263157887,0.07407407407407407,0.14814814814814814
no_physics,21,2,pass,infeasible,0.38961038961038963,,,0.07407407407407407,
no_physics,21,3,infeasible,pass,,0.13924050632911392,,,0.07692307692307693
no_physics,21,4,infeasible,infeasible,,,,,
no_physics,42,0,far_exceeded,pass,0.6153846153846154,0.24358974358974358,-0.3717948717948718,0.14814814814814814,0.0
no_physics,42,1,pass,pass,0.5526315789473685,0.6447368421052632,0.09210526315789469,0.037037037037037035,0.07407407407407407
no_physics,42,2,infeasible,pass,,0.4025974025974026,,,0.037037037037037035
no_physics,42,3,far_exceeded,far_exceeded,0.16455696202531644,0.5189873417721519,0.35443037974683544,0.15384615384615385,0.15384615384615385
no_physics,42,4,far_exceeded,pass,0.46511627906976744,0.47674418604651164,0.011627906976744207,0.1111111111111111,0.07407407407407407
no_physics,123,0,far_exceeded,far_exceeded,0.46153846153846156,0.47435897435897434,0.012820512820512775,0.2222222222222222,0.1111111111111111
no_physics,123,1,pass,far_exceeded,0.4473684210526316,0.7105263157894737,0.2631578947368421,0.07407407407407407,0.18518518518518517
no_physics,123,2,infeasible,infeasible,,,,,
no_physics,123,3,infeasible,far_exceeded,,0.10126582278481013,,,0.11538461538461539
no_physics,123,4,far_exceeded,far_exceeded,0.37209302325581395,0.5930232558139535,0.2209302325581396,0.14814814814814814,0.18518518518518517
no_quality,0,0,far_exceeded,far_exceeded,0.5256410256410257,0.47435897435897434,-0.05128205128205132,0.25925925925925924,0.14814814814814814
no_quality,0,1,far_exceeded,far_exceeded,0.6973684210526315,0.5789473684210527,-0.11842105263157887,0.14814814814814814,0.14814814814814814
no_quality,0,2,far_exceeded,infeasible,0.7532467532467533,,,0.1111111111111111,
no_quality,0,3,pass,far_exceeded,0.10126582278481013,0.22784810126582278,0.12658227848101267,0.038461538461538464,0.11538461538461539
no_quality,0,4,far_exceeded,far_exceeded,0.4069767441860465,0.46511627906976744,0.05813953488372092,0.14814814814814814,0.14814814814814814
no_quality,7,0,pass,far_exceeded,0.34615384615384615,0.6794871794871795,0.33333333333333337,0.07407407407407407,0.18518518518518517
no_quality,7,1,pass,far_exceeded,0.42105263157894735,0.7763157894736842,0.35526315789473684,0.07407407407407407,0.14814814814814814
no_quality,7,2,infeasible,infeasible,,,,,
no_quality,7,3,infeasible,pass,,0.08860759493670886,,,0.07692307692307693
no_quality,7,4,far_exceeded,pass,0.7325581395348837,0.27906976744186046,-0.45348837209302323,0.25925925925925924,0.07407407407407407
no_quality,13,0,infeasible,far_exceeded,,0.5641025641025641,,,0.14814814814814814
no_quality,13,1,far_exceeded,pass,0.7368421052631579,0.5526315789473685,-0.18421052631578938,0.2222222222222222,0.0
