baseline,metric,paired_runs,teacher_minus_baseline,ci_low,ci_high,bootstrap_reps,bootstrap_unit
TCNTE baseline,far,14,-0.023936170212765957,-0.06666666666666667,0.01591617754952311,1000,paired seed-fold run
TCNTE baseline,recall_at_0.25s,14,-0.015610651974288337,-0.08095862537505864,0.051684310048587125,1000,paired seed-fold run
TCNTE baseline,recall_at_0.50s,14,0.04958677685950414,-0.019233870967741953,0.13198592084454394,1000,paired seed-fold run
TCNTE baseline,recall_at_1.00s,14,0.02662993572084481,-0.0027753367415438482,0.062236735616518574,1000,paired seed-fold run
TCNTE baseline,mean_lead_seconds,14,0.06258307366929512,-0.012418561966389177,0.15311977708021948,1000,paired seed-fold run
TCNTE baseline,median_lead_seconds,14,0.033360099696451415,-0.023571669264925835,0.09085102523572047,1000,paired seed-fold run
Pure TCN baseline,far,18,0.002066115702479339,-0.028925619834710745,0.03505154639175258,1000,paired seed-fold run
Pure TCN baseline,recall_at_0.25s,18,0.03321554770318021,-0.024264920721739018,0.09198034134051317,1000,paired seed-fold run
Pure TCN baseline,recall_at_0.50s,18,0.0530035335689046,-0.010093360025875003,0.11917687862127509,1000,paired seed-fold run
Pure TCN baseline,recall_at_1.00s,18,0.02120141342756184,-0.0007102778587153564,0.04267806068211793,1000,paired seed-fold run
Pure TCN baseline,mean_lead_seconds,18,0.08735605399106999,0.016347945277970125,0.15250619317704056,1000,paired seed-fold run
Pure TCN baseline,median_lead_seconds,18,0.04599069127573584,0.0017912059502421434,0.09637832988204338,1000,paired seed-fold run
