seed,fold,status,metric,ci_low,ci_high,fall_events,normal_events
0,0,far_exceeded,recall_at_0.25s,0.7432692307692308,0.8974358974358975,78,27
0,0,far_exceeded,recall_at_0.50s,0.4230769230769231,0.6282051282051282,78,27
0,0,far_exceeded,recall_at_1.00s,0.11538461538461539,0.2951923076923074,78,27
0,0,far_exceeded,false_alert_rate,0.1111111111111111,0.4074074074074074,78,27
0,1,far_exceeded,recall_at_0.25s,0.7894736842105263,0.9342105263157895,76,27
0,1,far_exceeded,recall_at_0.50s,0.5921052631578947,0.8026315789473685,76,27
0,1,far_exceeded,recall_at_1.00s,0.10526315789473684,0.27631578947368424,76,27
0,1,far_exceeded,false_alert_rate,0.037037037037037035,0.2962962962962963,76,27
0,2,far_exceeded,recall_at_0.25s,0.7662337662337663,0.935064935064935,77,27
0,2,far_exceeded,recall_at_0.50s,0.6623376623376623,0.8441558441558441,77,27
0,2,far_exceeded,recall_at_1.00s,0.16883116883116883,0.35064935064935066,77,27
0,2,far_exceeded,false_alert_rate,0.0,0.25925925925925924,77,27
0,3,pass,recall_at_0.25s,0.24050632911392406,0.4430379746835443,79,26
0,3,pass,recall_at_0.50s,0.0379746835443038,0.17721518987341772,79,26
0,3,pass,recall_at_1.00s,0.0,0.0379746835443038,79,26
0,3,pass,false_alert_rate,0.0,0.11538461538461539,79,26
0,4,far_exceeded,recall_at_0.25s,0.627906976744186,0.8255813953488372,86,27
0,4,far_exceeded,recall_at_0.50s,0.3023255813953488,0.5116279069767442,86,27
0,4,far_exceeded,recall_at_1.00s,0.011627906976744186,0.09302325581395349,86,27
0,4,far_exceeded,false_alert_rate,0.037037037037037035,0.2962962962962963,86,27
7,0,pass,recall_at_0.25s,0.5641025641025641,0.782051282051282,78,27
7,0,pass,recall_at_0.50s,0.23076923076923078,0.46153846153846156,78,27
7,0,pass,recall_at_1.00s,0.02564102564102564,0.16666666666666666,78,27
7,0,pass,false_alert_rate,0.0,0.14907407407407322,78,27
7,1,pass,recall_at_0.25s,0.6052631578947368,0.8026315789473685,76,27
7,1,pass,recall_at_0.50s,0.3157894736842105,0.5263157894736842,76,27
7,1,pass,recall_at_1.00s,0.02631578947368421,0.15789473684210525,76,27
7,1,pass,false_alert_rate,0.0,0.18518518518518517,76,27
7,4,far_exceeded,recall_at_0.25s,0.8023255813953488,0.9418604651162791,86,27
7,4,far_exceeded,recall_at_0.50s,0.6395348837209303,0.8255813953488372,86,27
7,4,far_exceeded,recall_at_1.00s,0.06976744186046512,0.22093023255813954,86,27
7,4,far_exceeded,false_alert_rate,0.1111111111111111,0.4444444444444444,86,27
13,1,far_exceeded,recall_at_0.25s,0.7894736842105263,0.9342105263157895,76,27
13,1,far_exceeded,recall_at_0.50s,0.631578947368421,0.8289473684210527,76,27
13,1,far_exceeded,recall_at_1.00s,0.13157894736842105,0.3157894736842105,76,27
13,1,far_exceeded,false_alert_rate,0.07407407407407407,0.37037037037037035,76,27
13,2,pass,recall_at_0.25s,0.765909090909091,0.922077922077922,77,27
13,2,pass,recall_at_0.50s,0.5714285714285714,0.7792207792207793,77,27
13,2,pass,recall_at_1.00s,0.07792207792207792,0.24675324675324675,77,27
13,2,pass,false_alert_rate,0.0,0.1111111111111111,77,27
13,4,far_exceeded,recall_at_0.25s,0.6744186046511628,0.8488372093023255,86,27
13,4,far_exceeded,recall_at_0.50s,0.4069767441860465,0.627906976744186,86,27
13,4,far_exceeded,recall_at_1.00s,0.046511627906976744,0.1744186046511628,86,27
13,4,far_exceeded,false_alert_rate,0.037037037037037035,0.2962962962962963,86,27
21,1,pass,recall_at_0.25s,0.75,0.9210526315789473,76,27
21,1,pass,recall_at_0.50s,0.5131578947368421,0.7236842105263158,76,27
21,1,pass,recall_at_1.00s,0.07894736842105263,0.23684210526315788,76,27
21,1,pass,false_alert_rate,0.0,0.18518518518518517,76,27
21,2,pass,recall_at_0.25s,0.5974025974025974,0.8051948051948052,77,27
21,2,pass,recall_at_0.50s,0.2857142857142857,0.4935064935064935,77,27
21,2,pass,recall_at_1.00s,0.012987012987012988,0.12987012987012986,77,27
21,2,pass,false_alert_rate,0.0,0.18518518518518517,77,27
42,0,far_exceeded,recall_at_0.25s,0.8076923076923077,0.9487179487179487,78,27
42,0,far_exceeded,recall_at_0.50s,0.5128205128205128,0.717948717948718,78,27
42,0,far_exceeded,recall_at_1.00s,0.1282051282051282,0.3076923076923077,78,27
42,0,far_exceeded,false_alert_rate,0.037037037037037035,0.2962962962962963,78,27
42,1,pass,recall_at_0.25s,0.6973684210526315,0.8687499999999997,76,27
42,1,pass,recall_at_0.50s,0.4342105263157895,0.658223684210526,76,27
42,1,pass,recall_at_1.00s,0.05263157894736842,0.19736842105263158,76,27
42,1,pass,false_alert_rate,0.0,0.1111111111111111,76,27
42,3,far_exceeded,recall_at_0.25s,0.46835443037974683,0.6835443037974683,79,26
42,3,far_exceeded,recall_at_0.50s,0.08860759493670886,0.25316455696202533,79,26
42,3,far_exceeded,recall_at_1.00s,0.0,0.06329113924050633,79,26
42,3,far_exceeded,false_alert_rate,0.038461538461538464,0.3076923076923077,79,26
42,4,far_exceeded,recall_at_0.25s,0.6744186046511628,0.8488372093023255,86,27
42,4,far_exceeded,recall_at_0.50s,0.36046511627906974,0.5813953488372093,86,27
42,4,far_exceeded,recall_at_1.00s,0.023255813953488372,0.12790697674418605,86,27
42,4,far_exceeded,false_alert_rate,0.0,0.25925925925925924,86,27
123,0,far_exceeded,recall_at_0.25s,0.6538461538461539,0.8589743589743589,78,27
123,0,far_exceeded,recall_at_0.50s,0.358974358974359,0.5641025641025641,78,27
123,0,far_exceeded,recall_at_1.00s,0.038461538461538464,0.16666666666666666,78,27
